city	state	zip	tenant_name
Bloomington	MN	55425	The Gold Guys
West Valley	UT	84119	Fragranza
Winter Park	FL	32789	Sirio Tech
Ridgeland	MS	39157	Joy Collection Ii
Arcadia	CA	91007	Nkm Capital Group Llc
Kingston	NY	12401	Vail Llc
Santa Ana	CA	92705	Dona Michi
Fairview Heights	IL	62208	Cardinals Clubhouse Shop Llc
Salt Lake City	UT	84101	"Split Mountain Village, Llc"
Racine	WI	53406	Mirage
Hoover	AL	35244	Bumper Nets
Miami Beach	FL	33139	Quattro Gastronomie Italiana
Baltimore	MD	21215	Citizens Review Board Llc
Stockton	CA	95207	Silver Stop
Irving	TX	75062	One Step Shop
Morrow	GA	30260	Encore 6
Prescott	AZ	86303	Jar of Clay
Fort Worth	TX	76115	Little Princess
Spokane	WA	99207	"Joseph W. Braun, O.D. And Associates"
Greenville	NC	27858	I Smart Message
Bristol	VA	24201	All Fired Up
Ontario	CA	91764	The Mills Corporation
Clearwater	FL	33759	AT&T Authorized Retailer Inc
Grand Island	NE	68803	South American Treasures
Huntington Beach	CA	92647	Tacos De Ojo
Abilene	TX	79606	Get Gussied Up
Racine	WI	53406	Hot Shades-Art Cart
Auburn	AL	36830	Andrew's
Winter Park	FL	32789	Pure Pest Management
Metairie	LA	70002	Mina's Hallmark
Fort Worth	TX	76116	Susan G. Komen for the Cure
Montgomeryville	PA	18936	Cashmere Squares Llc
Carlsbad	CA	92008	"Boot World, Inc."
Edina	MN	55435	MINQ
Merced	CA	95348	Tucker Produce Company
Hayward	CA	94545	Motiwala Enterprise
Bethesda	MD	20817	Met Bethesda
Orangeburg	SC	29115	"Hull Storey Retail Group, Llc"
Bloomingdale	IL	60108	All That
Gainesville	FL	32605	Sandra's Lunchbox
Culver City	CA	90230	Feetworks
Chula Vista	CA	91915	Mickey South
Corpus Christi	TX	78411	Diet Center Corpus Christi
Glendale	CA	91210	La Baguette
Costa Mesa	CA	92626	Ilori
Baton Rouge	LA	70815	Around Town Studios
Visalia	CA	93277	Dairy Queen/Orange Julius
Spokane	WA	99207	Urban Blends
Fort Smith	AR	72903	Neighborhood News Ii
Paramus	NJ	7652	U.S. Polo Assn.
Asheville	NC	28805	Little Star Cajun
Fayetteville	NC	28303	Oecc
Santa Ana	CA	92705	Acceptance Rac
Springfield	OR	97477	Epris
Bridgewater	NJ	8807	Baja-B-Que
Leawood	KS	66209	"Antique Sampler, LLC"
Clovis	NM	88101	Dyvinne
West Des Moines	IA	50266	True Style
Tallahassee	FL	32301	Halloween MegaStore
Riverside	CA	92503	Duke'z
Indianapolis	IN	46250	Inside Scoop Inc
Cleveland	TN	37312	Princess Jewerly
Marion	IN	46952	Jiao
Bel Air	MD	21014	Harford Quick Mart
Charlotte	NC	28216	Carmen! Carmen!
Albuquerque	NM	87114	Uhaul Co
Bakersfield	CA	93304	Most Stickers
Los Angeles	CA	90067	Fit2Run
Chesterfield	MO	63017	Y.S. Rho Martial Arts
Bakersfield	CA	93304	De Colores
Columbus	IN	47201	J Nicole
Brunswick	GA	31525	"Frank-Beth, Inc."
Atlanta	GA	30326	Aya
Eureka	CA	95501	"Nguyen, Maryann Bty Connctn"
Dubuque	IA	52002	Life Chiropractic Center
Bloomington	MN	55425	Chick Wich
Phoenix	AZ	85016	Concierge Center
Plantation	FL	33388	I Luv Hair
Hingham	MA	2043	Three Forty Four Llc
Birmingham	AL	35243	Talbots Llc
Sunrise	FL	33323	Matchbox
Raleigh	NC	27612	Levi Stores
Piqua	OH	45356	Emerald Hospitality
Bal Harbour	FL	33154	Goyard
Broomfield	CO	80021	RKW Enterprises
Prescott	AZ	86303	The Whiskey Pistol
Miami Beach	FL	33139	Calvary Chapel Of Miami Beach
Santa Ana	CA	92705	Kan DO Inc.
Meriden	CT	6451	"Clear Channel Communications, Inc."
Saratoga Springs	NY	12866	Local Legends Enterprises Incorporated
Pompano Beach	FL	33071	Look A Like
Pompano Beach	FL	33071	Embroidery Plus
Myrtle Beach	SC	29577	Heart to Heart
Milpitas	CA	95035	"Neiman Marcus Group Llc, The"
Lakewood	CO	80226	The Joint Chiropractic
Glendale	AZ	85308	Bad Boy Blades
Auburn	WA	98001	Eti Quette
Rock Hill	SC	29730	La Poblanita
Allentown	PA	18103	Bolton's
Burnsville	MN	55306	Solar Ex
Okemos	MI	48864	Oriental Accent Arts
Chicago	IL	60611	Blowtique
Montclair	CA	91763	Underground Station
Orange Park	FL	32073	The Connection
Tallahassee	FL	32303	Autism Institute
Grand Forks	ND	58201	Nature's Country Store
Twin Falls	ID	83301	Mybullfrog.Com
San Bernardino	CA	92401	Exposure
Corte Madera	CA	94925	Splendid 859
Austin	TX	78757	Kimberly Parker
Altamonte Springs	FL	32701	Ancho Burrito
Chesterfield	MO	63005	Armani
Miami Beach	FL	33139	Soulier
Charlotte	NC	28204	Title Boxing
Monaca	PA	15061	El Campo
Plano	TX	75093	Scrubs Style
Tempe	AZ	85282	"Tilly's, Inc."
Peabody	MA	1960	Village Silversmith
Dallas	TX	75240	The Schlichting Group
Kennesaw	GA	30144	My Story
Hattiesburg	MS	39402	Buffalo Express
Murray	UT	84107	Spring Communications
Tampa	FL	33609	"Thomas, Misrak"
Burnsville	MN	55306	My Pillow
Las Vegas	NV	89109	Balenciaga
Taylor	MI	48180	De Jaeger Construction Inc
Las Vegas	NV	89044	TSA Summerlin
Mentor	OH	44060	Quick Fix USA
Ogden	UT	84405	Down East Basics #2
Monroe	LA	71203	Monogramania
Victor	NY	14564	Mark's Pizzeria
Huntington Beach	CA	92647	Luna Rossa Ristorante
Dayton	OH	45459	Linens & More for Less Llc
Altamonte Springs	FL	32701	Treat From Heaven
Columbus	GA	31909	Smart Buy
Orlando	FL	32819	Taverna OPA
Vernon Hills	IL	60061	Total Wedding
San Francisco	CA	94115	Runway NY
Danbury	CT	6810	On Track Karting
Las Vegas	NV	89109	Allure
Cincinnati	OH	45245	Inlight Studios Llc
Johnstown	PA	15904	"Johnstown Galleria, The"
Lakewood	CO	80226	Positively Jake
Calumet City	IL	60409	Calumet City Chamber of Commerce
Cupertino	CA	95014	Strike
Colonial Heights	VA	23834	Collectors Heaven
Thousand Oaks	CA	91360	We Olive Thousand Oaks
West Valley	UT	84119	Rice Village
